0 0 26 76 2 0 1
0 0 27 49 2 0 1
0 0 27 50 1 0 1
0 0 27 70 0 0 1
0 0 27 76 0 0 1
0 0 27 76 1 0 1
0 0 28 9 0 0 1
0 0 28 17 2 0 1
0 0 28 30 2 0 1
0 0 28 39 0 0 1
0 0 28 40 2 0 1
0 0 28 56 1 0 1
0 0 29 39 2 0 1
0 0 29 40 1 0 2
0 0 29 40 1 1 1
0 0 29 44 1 0 1
0 0 29 65 2 0 1
0 0 29 76 1 0 1
0 0 29 76 2 0 2
0 0 29 76 2 1 1
0 0 30 46 2 0 1
0 0 30 65 0 0 1
0 0 30 66 2 0 1
0 0 30 76 1 0 1
0 0 30 76 2 0 1
0 0 31 33 2 0 1
0 0 31 49 2 0 1
0 0 31 65 0 0 1
0 0 31 76 2 0 1
0 0 32 76 1 0 1
0 0 32 76 2 0 1
0 0 33 49 2 0 1
0 0 33 57 2 0 1
0 0 33 58 1 0 1
0 0 33 64 2 0 1
0 0 33 76 0 0 1
0 0 34 21 1 0 1
0 0 34 40 0 0 1
0 0 34 47 0 0 1
0 0 34 50 1 0 1
0 0 34 56 2 0 1
0 0 34 76 1 0 1
0 0 34 76 2 0 1
0 0 35 56 1 0 1
0 0 35 76 1 0 1
0 0 35 76 2 0 1
0 0 36 17 1 0 1
0 0 36 20 0 0 1
0 0 36 46 2 0 2
0 0 36 72 1 0 1
0 0 36 76 1 0 2
0 0 36 76 1 1 1
0 0 36 76 2 0 1
0 0 37 19 2 0 1
0 0 37 33 2 0 1
0 0 37 38 1 0 1
0 0 37 44 2 0 1
0 0 37 49 2 0 1
0 0 37 50 2 0 1
0 0 37 76 1 0 1
0 0 38 17 2 0 1
0 0 38 19 1 0 1
0 0 38 30 0 0 1
0 0 38 59 1 0 1
0 0 38 59 2 0 1
0 0 38 63 0 0 1
0 0 38 76 1 0 3
0 0 39 39 1 0 1
0 0 39 65 1 0 1
0 0 39 70 2 0 1
0 0 39 76 0 0 1
0 0 39 76 1 0 2
0 0 39 76 1 1 1
0 0 39 76 2 0 2
0 0 40 49 1 0 1
0 0 40 50 1 0 1
0 0 40 56 1 0 1
0 0 40 57 1 0 1
0 0 40 76 1 0 1
0 0 41 30 2 0 1
0 0 41 65 0 0 1
0 0 41 76 1 0 1
0 0 42 30 1 0 1
0 0 42 45 1 0 1
0 0 42 50 1 0 1
0 0 42 76 0 0 1
0 0 42 76 2 0 2
0 0 42 76 2 1 1
0 0 43 49 1 0 1
0 0 43 76 1 0 2
0 0 43 76 1 1 1
0 0 43 76 2 0 1
0 0 44 34 2 0 1
0 0 44 43 2 0 1
0 0 44 65 1 0 1
0 0 44 76 0 0 1
